c0,p,NN_Policy,R_S_Policy,Q_S_Policy,Can_Order,Ind_s_S
20,10,0.676,0.684,0.831,0.808,0.890
20,50,1.080,1.310,1.525,1.085,1.162
20,100,1.312,1.748,1.918,1.312,1.418
100,10,1.240,1.270,1.457,1.546,1.954
100,50,1.794,2.112,2.498,1.821,2.215
100,100,1.920,2.603,3.030,1.951,2.374
200,10,1.621,1.664,1.855,2.029,2.770
200,50,2.281,2.633,3.039,2.329,3.073
200,100,2.415,3.158,3.620,2.442,3.208
